"time","der(inductor1.i)","ground1.p.i","ground1.p.v","inductor1.i","inductor1.p.v","inductor1.v","resistor1.LossPower","resistor1.R_actual","resistor1.v","resistor2.LossPower","resistor2.R_actual","resistor2.v","sineCurrent1.v","inductor1.n.i","inductor1.n.v","inductor1.p.i","resistor1.i","resistor1.n.i","resistor1.n.v","resistor1.p.i","resistor1.p.v","resistor2.i","resistor2.n.i","resistor2.n.v","resistor2.p.i","resistor2.p.v","sineCurrent1.i","sineCurrent1.n.i","sineCurrent1.n.v","sineCurrent1.p.i","sineCurrent1.p.v","sineCurrent1.signalSource.y"
0.2,1.941611038725467,0,0,0.9510565162951535,2.89266755502062,1.941611038725467,0.9045084971874736,1,0.9510565162951535,0.9045084971874736,1,-0.9510565162951535,-3.843724071315774,-0.9510565162951535,0.9510565162951535,0.9510565162951535,0.9510565162951535,-0.9510565162951535,0,0.9510565162951535,0.9510565162951535,-0.9510565162951535,0.9510565162951535,0,-0.9510565162951535,-0.9510565162951535,0.9510565162951535,-0.9510565162951535,2.89266755502062,0.9510565162951535,-0.9510565162951535,0.9510565162951535
0.21,1.562564645078366,0,0,0.9685831611286311,2.531147806206997,1.562564645078366,0.9381533400219317,1,0.9685831611286311,0.9381533400219317,1,-0.9685831611286311,-3.499730967335628,-0.9685831611286311,0.9685831611286311,0.9685831611286311,0.9685831611286311,-0.9685831611286311,0,0.9685831611286311,0.9685831611286311,-0.9685831611286311,0.9685831611286311,0,-0.9685831611286311,-0.9685831611286311,0.9685831611286311,-0.9685831611286311,2.531147806206997,0.9685831611286311,-0.9685831611286311,0.9685831611286311
0.22,1.177351522645022,0,0,0.9822872507286886,2.15963877337371,1.177351522645022,0.9648882429441256,1,0.9822872507286886,0.9648882429441256,1,-0.9822872507286886,-3.141926024102399,-0.9822872507286886,0.9822872507286886,0.9822872507286886,0.9822872507286886,-0.9822872507286886,0,0.9822872507286886,0.9822872507286886,-0.9822872507286886,0.9822872507286886,0,-0.9822872507286886,-0.9822872507286886,0.9822872507286886,-0.9822872507286886,2.15963877337371,0.9822872507286886,-0.9822872507286886,0.9822872507286886
0.23,0.7874919316325438,0,0,0.9921147013144779,1.779606632947022,0.7874919316325438,0.9842915805643157,1,0.9921147013144779,0.9842915805643157,1,-0.9921147013144779,-2.7717213342615,-0.9921147013144779,0.9921147013144779,0.9921147013144779,0.9921147013144779,-0.9921147013144779,0,0.9921147013144779,0.9921147013144779,-0.9921147013144779,0.9921147013144779,0,-0.9921147013144779,-0.9921147013144779,0.9921147013144779,-0.9921147013144779,1.779606632947022,0.9921147013144779,-0.9921147013144779,0.9921147013144779
0.24,0.3945244697367557,0,0,0.9980267284282716,1.392551198165027,0.3945244697367557,0.9960573506572389,1,0.9980267284282716,0.9960573506572389,1,-0.9980267284282716,-2.390577926593299,-0.9980267284282716,0.9980267284282716,0.9980267284282716,0.9980267284282716,-0.9980267284282716,0,0.9980267284282716,0.9980267284282716,-0.9980267284282716,0.9980267284282716,0,-0.9980267284282716,-0.9980267284282716,0.9980267284282716,-0.9980267284282716,1.392551198165027,0.9980267284282716,-0.9980267284282716,0.9980267284282716
0.25,3.847214324707763e-016,0,0,1,1,3.847214324707763e-016,1,1,1,1,1,-1,-2,-1,1,1,1,-1,0,1,1,-1,1,0,-1,-1,1,-1,1,1,-1,1
0.26,-0.3945244697367548,0,0,0.9980267284282716,0.6035022586915168,-0.3945244697367548,0.9960573506572389,1,0.9980267284282716,0.9960573506572389,1,-0.9980267284282716,-1.601528987119788,-0.9980267284282716,0.9980267284282716,0.9980267284282716,0.9980267284282716,-0.9980267284282716,0,0.9980267284282716,0.9980267284282716,-0.9980267284282716,0.9980267284282716,0,-0.9980267284282716,-0.9980267284282716,0.9980267284282716,-0.9980267284282716,0.6035022586915168,0.9980267284282716,-0.9980267284282716,0.9980267284282716
0.27,-0.7874919316325446,0,0,0.9921147013144778,0.2046227696819332,-0.7874919316325446,0.9842915805643154,1,0.9921147013144778,0.9842915805643154,1,-0.9921147013144778,-1.196737470996411,-0.9921147013144778,0.9921147013144778,0.9921147013144778,0.9921147013144778,-0.9921147013144778,0,0.9921147013144778,0.9921147013144778,-0.9921147013144778,0.9921147013144778,0,-0.9921147013144778,-0.9921147013144778,0.9921147013144778,-0.9921147013144778,0.2046227696819332,0.9921147013144778,-0.9921147013144778,0.9921147013144778
0.28,-1.177351522645022,0,0,0.9822872507286886,-0.1950642719163336,-1.177351522645022,0.9648882429441256,1,0.9822872507286886,0.9648882429441256,1,-0.9822872507286886,-0.787222978812355,-0.9822872507286886,0.9822872507286886,0.9822872507286886,0.9822872507286886,-0.9822872507286886,0,0.9822872507286886,0.9822872507286886,-0.9822872507286886,0.9822872507286886,0,-0.9822872507286886,-0.9822872507286886,0.9822872507286886,-0.9822872507286886,-0.1950642719163336,0.9822872507286886,-0.9822872507286886,0.9822872507286886
0.29,-1.562564645078364,0,0,0.9685831611286312,-0.5939814839497325,-1.562564645078364,0.938153340021932,1,0.9685831611286312,0.938153340021932,1,-0.9685831611286312,-0.3746016771788987,-0.9685831611286312,0.9685831611286312,0.9685831611286312,0.9685831611286312,-0.9685831611286312,0,0.9685831611286312,0.9685831611286312,-0.9685831611286312,0.9685831611286312,0,-0.9685831611286312,-0.9685831611286312,0.9685831611286312,-0.9685831611286312,-0.5939814839497325,0.9685831611286312,-0.9685831611286312,0.9685831611286312
